origin_code,origin_sub_district,origin_district,destination_code,destination_sub_district,destination_district,species_type,number,weekly_volume
M-TGR-044,BATUCEPER,KOTA TANGERANG,,KARAWACI,,BR,145,1015
M-TGR-044,BATUCEPER,KOTA TANGERANG,,JATI UWUNG,,BR,150,1050
M-TGR-044,BATUCEPER,KOTA TANGERANG,,CIKANDE,,BR,150,1050
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-TGR-010,TANGERANG,,BR,650,4550
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-TGR-006,CIPONDOH,,BR,500,3500
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-TGR-066,PINANG,,BR,500,3500
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-TGR-053,CILEDUG,,BR,500,3500
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-TGR-009,CIPONDOH,,BR,500,3500
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-TGR-011,TANGERANG,,BR,500,3500
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-TGR-035,KARAWACI,,BR,550,3850
M-TGR-002,CIPONDOH,KOTA TANGERANG,M-JKB-034,CENGKARENG,,BR,650,4550
M-TGR-002,CIPONDOH,KOTA TANGERANG,,KEMBANGAN,,BR,650,4550
D-BGR-048,DRAMAGA,BOGOR,,DRAMAGA,,BR,240,1680
M-JKB-054,TAMBORA,JAKARTA BARAT,,CENGKARENG,,BR,50,
M-JKB-054,TAMBORA,JAKARTA BARAT,,TAMBORA,,BR,30,
M-JKB-060,TAMAN SARI,JAKARTA BARAT,,KEMBANGAN,,AK,30,
M-JKB-060,TAMAN SARI,JAKARTA BARAT,,SAWAH BESAR,,AK,15,
M-JKB-060,TAMAN SARI,JAKARTA BARAT,M-JKP-035,TAMBORA,,AK,30,
M-TGR-081,TANGERANG,KOTA TANGERANG,,TANGERANG,,BR,2500,17500
M-TGR-081,TANGERANG,KOTA TANGERANG,,TANGERANG,,BR,6000,42000
M-JKS-024,PASAR MINGGU,JAKARTA SELATAN,M-JKS-092,PASAR MINGGU,,BR,105,105
M-JKS-024,PASAR MINGGU,JAKARTA SELATAN,M-JKS-093,PASAR MINGGU,,BR,100,100
M-JKS-024,PASAR MINGGU,JAKARTA SELATAN,M-JKS-022,PASAR MINGGU,,BR,200,200
M-TGR-104,PINANG,KOTA TANGERANG,,PINANG,,AK,1,1
M-TGR-090,CIBODAS,KOTA TANGERANG,M-TGR-042,CIBODAS,,BR,700,4900
D-BGR-211,PARUNG,BOGOR,,CISEENG,,BR,200,200
D-BGR-211,PARUNG,BOGOR,,GUNUNG SINDUR,,BR,150,150
D-BGR-206,CISEENG,BOGOR,,CILEDUG,,BR,1000,7000
D-BGR-206,CISEENG,BOGOR,,CISEENG,,BR,400,2800
M-BKS-016,JATIASIH,KOTA BEKASI,D-BGR-043,CIOMAS,,BR,500,3500
D-BGR-209,PARUNG,BOGOR,,CIRACAS,,BR,300,2100
D-BGR-209,PARUNG,BOGOR,,SAWANGAN,,BR,300,2100
D-BGR-209,PARUNG,BOGOR,,MATRAMAN,,BR,200,1400
D-BGR-209,PARUNG,BOGOR,,CISEENG,,BR,200,1400
D-BGR-214,CIBUNGBULANG,BOGOR,,CIBUNGBULANG,,BR,200,1400
D-BGR-214,CIBUNGBULANG,BOGOR,D-BGR-182,LEUWILIANG,,BR,200,1400
D-BGR-173,CIBUNGBULANG,BOGOR,D-BGR-182,LEUWILIANG,,AK,9,45
D-BGR-173,CIBUNGBULANG,BOGOR,D-BGR-182,LEUWILIANG,,DU,5,20
D-BKS-045,KEDUNGWARINGIN,BEKASI,,KEDUNGWARINGIN,,LA,250,250
M-JKS-085,PASAR MINGGU,JAKARTA SELATAN,,CIMANGGIS,,BR,500,500
M-JKS-085,PASAR MINGGU,JAKARTA SELATAN,M-JKT-113,KRAMAT JATI,,BR,2500,2500
M-JKS-085,PASAR MINGGU,JAKARTA SELATAN,M-DPK-001,PANCORAN MAS,,BR,1600,1600
M-JKS-085,PASAR MINGGU,JAKARTA SELATAN,M-JKS-023,PASAR MINGGU,,BR,4000,4000
D-BKS-065,CIKARANG UTARA,BEKASI,,CIKARANG UTARA,,AK,250,250
M-JKS-047,KEBAYORAN BARU,JAKARTA SELATAN,M-JKS-039,KEBAYORAN BARU,,BR,100,100
M-JKS-047,KEBAYORAN BARU,JAKARTA SELATAN,M-JKS-036,KEBAYORAN LAMA,,BR,150,150
M-JKS-047,KEBAYORAN BARU,JAKARTA SELATAN,M-JKS-028,KEBAYORAN BARU,,BR,200,200
M-TGR-047,CILEDUG,KOTA TANGERANG,,CILEDUG,,AK,9,63
D-BKS-020,TAMBUN SELATAN,BEKASI,M-BKS-039,BANTARGEBANG,,BR,200,600
D-BKS-020,TAMBUN SELATAN,BEKASI,M-BKS-059,BEKASI TIMUR,,BR,100,300
D-BKS-020,TAMBUN SELATAN,BEKASI,,CIBITUNG,,BR,80,240
D-BKS-020,TAMBUN SELATAN,BEKASI,,TAMBUN SELATAN,,BR,620,1860
D-BKS-048,KEDUNGWARINGIN,BEKASI,,KEDUNGWARINGIN,,BR,36,252
D-BKS-048,KEDUNGWARINGIN,BEKASI,,TAMBUN SELATAN,,BR,200,1400
D-BKS-065,CIKARANG UTARA,BEKASI,,CIKARANG UTARA,,BR,700,4900
M-JKB-060,TAMAN SARI,JAKARTA BARAT,,SAWAH BESAR,,AK,30,
D-BKS-065,CIKARANG UTARA,BEKASI,,CIKARANG UTARA,,BR,59,413
M-JKS-014,JAGAKARSA,JAKARTA SELATAN,,PASAR MINGGU,,BR,300,2100
D-BKS-025,TARUMAJAYA,BEKASI,M-JKU-025,TANJUNG PRIOK,,AK,10,70
D-BKS-032,TARUMAJAYA,BEKASI,M-JKT-087,CAKUNG,,AK,10,70
D-BKS-032,TARUMAJAYA,BEKASI,M-JKU-025,CILINCING,,DU,10,70
D-BKS-024,TARUMAJAYA,BEKASI,M-BKS-027,MEDAN SATRIA,,AK,25,175
D-BKS-024,TARUMAJAYA,BEKASI,M-BKS-027,MEDAN SATRIA,,DU,25,175
D-BKS-024,TARUMAJAYA,BEKASI,,BEKASI UTARA,,AK,25,175
D-BKS-024,TARUMAJAYA,BEKASI,,BEKASI UTARA,,DU,25,175
D-BGR-138,KELAPA NUNGGAL,BOGOR,,CILEUNGSI,,BR,250,250
D-BGR-236,CILEUNGSI,BOGOR,D-BGR-133,CILEUNGSI,,AK,50,350
M-TGR-107,PINANG,KOTA TANGERANG,,PINANG,,DU,150,1050
M-TGR-107,PINANG,KOTA TANGERANG,,PINANG,,LA,100,700
M-TGR-107,PINANG,KOTA TANGERANG,,CIPONDOH,,DU,50,350
M-TGR-107,PINANG,KOTA TANGERANG,,CIPONDOH,,LA,150,1050
D-BKS-027,TARUMAJAYA,BEKASI,M-JKU-025,CILINCING,,AK,20,140
