destination_code,destination_sub_district,destination_district,origin_district,species_type,number,weekly_volume
M-TGR-096,NEGLASARI,KOTA TANGERANG,TANGERANG,BR,1000,7000
M-TGR-096,NEGLASARI,KOTA TANGERANG,SERANG,BR,1000,7000
M-TGR-095,NEGLASARI,KOTA TANGERANG,TANGERANG,BR,600,1200
M-TGR-095,NEGLASARI,KOTA TANGERANG,TANGERANG,BR,200,200
M-TGR-110,TANGERANG,KOTA TANGERANG,TANGERANG,BR,1500,4500
M-TGR-110,TANGERANG,KOTA TANGERANG,TANGERANG,BR,1500,3000
M-TGR-110,TANGERANG,KOTA TANGERANG,SERANG,BR,1500,1500
M-TGR-110,TANGERANG,KOTA TANGERANG,TANGERANG,BR,1500,1500
M-TGR-110,TANGERANG,KOTA TANGERANG,PANDEGLANG,BR,1000,3000
M-TGR-110,TANGERANG,KOTA TANGERANG,SERANG,BR,1000,4000
M-TGR-110,TANGERANG,KOTA TANGERANG,TANGERANG,BR,2000,14000
M-BGR-011,KOTA BOGOR SELATAN,KOTA BOGOR,BOGOR,AK,600,1200
M-BGR-011,KOTA BOGOR SELATAN,KOTA BOGOR,BOGOR,BR,100,100
M-BGR-011,KOTA BOGOR SELATAN,KOTA BOGOR,BOGOR,DU,600,1200
M-BGR-011,KOTA BOGOR SELATAN,KOTA BOGOR,BOGOR,LA,600,0
M-BGR-012,TANAH SEREAL,KOTA BOGOR,BOGOR,BR,1000,7000
M-JKB-054,TAMBORA,JAKARTA BARAT,TASIKMALAYA,BR,1000,7000
M-BKS-038,BANTARGEBANG,KOTA BEKASI,BOGOR,BR,400,933,3332
M-BKS-038,BANTARGEBANG,KOTA BEKASI,KOTA BEKASI,BR,400,933,3332
M-BKS-038,BANTARGEBANG,KOTA BEKASI,KOTA DEPOK,BR,400,933,3332
M-JKB-053,TAMBORA,JAKARTA BARAT,SUKABUMI,BR,100,500
M-JKB-053,TAMBORA,JAKARTA BARAT,SUKABUMI,LA,500,2500
M-JKB-053,TAMBORA,JAKARTA BARAT,CIANJUR,BR,100,200
M-JKB-053,TAMBORA,JAKARTA BARAT,CIANJUR,LA,500,1000
M-TGR-110,TANGERANG,KOTA TANGERANG,KOTA TANGERANG,BR,100,700
M-TGR-110,TANGERANG,KOTA TANGERANG,TANGERANG,BR,1000,7000
M-TGR-110,TANGERANG,KOTA TANGERANG,KOTA SERANG,BR,1000,7000
M-TGR-110,TANGERANG,KOTA TANGERANG,KOTA SERANG,BR,700,4900
M-BGR-016,TANAH SEREAL,KOTA BOGOR,SUKABUMI,BR,1000,1000
M-BGR-016,TANAH SEREAL,KOTA BOGOR,BOGOR,BR,1000,1000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,CIANJUR,BR,10000,35000
M-JKT-060,MATRAMAN,JAKARTA TIMUR,SUKABUMI,BR,10000,35000
M-BGR-009,TANAH SEREAL,KOTA BOGOR,BOGOR,BR,600,2400
M-BGR-009,TANAH SEREAL,KOTA BOGOR,BOGOR,BR,600,1800
M-JKB-039,CENGKARENG,JAKARTA BARAT,SERANG,BR,4000,20000
M-JKB-039,CENGKARENG,JAKARTA BARAT,KOTA CILEGON,BR,2000,2000
M-JKB-039,CENGKARENG,JAKARTA BARAT,PANDEGLANG,BR,2000,2000
M-BKS-063,BEKASI TIMUR,KOTA BEKASI,TASIKMALAYA,BR,1000,4000
M-BKS-063,BEKASI TIMUR,KOTA BEKASI,TANGGAMUS,BR,1000,2000
M-BKS-063,BEKASI TIMUR,KOTA BEKASI,MAJALENGKA,BR,1000,1000
M-BKS-038,BANTARGEBANG,KOTA BEKASI,KOTA DEPOK,BR,900,6300
D-BGR-230,CIAMPEA,BOGOR,BOGOR,BR,1000,4000
D-BGR-230,CIAMPEA,BOGOR,BOGOR,BR,1000,3000
M-BGR-010,KOTA BOGOR BARAT,KOTA BOGOR,BOGOR,BR,500,500
M-BGR-010,KOTA BOGOR BARAT,KOTA BOGOR,BOGOR,BR,500,500
